岗位名称,工作地点,岗位薪资,经验要求,学历要求,岗位标签,企业名称,企业行业,企业规模,融资状况
视觉算法工程师（AIGC） (MJ000726),北京-海淀区,30-60k·15薪,经验不限,硕士,"算法研究,TensorFlow,PyTorch",北京鹰瞳科技发展股份有限公司,人工智能,100-499人,C轮
AIGC 技术总监,北京-海淀区,250-500k,经验不限,本科,"算法设计,算法开发,算法识别",某北京在线社交/媒体公司,在线社交/媒体,50-99人,C轮
AIGC产品经理,北京-通州区,20-40k,3-5年,本科,"AI人工智能产品,电商产品,AIGC",京东商城,互联网,10000人以上,已上市
阿里云智能-AI/AIGC标准化专家-北京,北京-朝阳区,35-65k·16薪,5-10年,硕士,"AI,AIGC,标准化",阿里云,互联网,10000人以上,融资未公开
AIGC产品经理,北京-朝阳区,20-35k·15薪,3-5年,本科,"AI人工智能产品,工具产品,策略产品,内容产品,人工智能,IT互联网,产品设计,用户研究,产品规划,需求分析",北京乐我无限科技有限责任公司,在线社交/媒体,500-999人,B轮
百度知识图谱部AIGC模型架构实习工程师,北京-海淀区,5-10k,经验不限,本科,"程序员,实习期",百度时代网络,在线社交/媒体,10000人以上,已上市
商业AIGC组_AIGC产品经理（图文方向）,北京-海淀区,20-40k·16薪,3-5年,本科,"内容产品,策略产品,IT互联网,移动端产品,团队管理,用户研究,数据分析",Baidu,互联网,10000人以上,美股上市
AIGC产品经理,北京-朝阳区,15-35k·15薪,3-5年,本科,"AI人工智能产品,策略产品,内容产品,工具产品,人工智能,IT互联网,产品设计,用户研究,产品规划,需求分析",北京乐我无限科技有限责任公司,在线社交/媒体,500-999人,B轮
算法工程师（AIGC/LLM应用/多模态）-北京/杭州/上 海/深 圳,北京,60-90k·16薪,3-5年,硕士,"AIGC,深度学习,机器学习,图像生成,视频生成,Python,C++,Java,广告算法",某国内人力资源服务公司,人力资源服务,50-99人,Unknown
AIGC广告投放负责人,北京-海淀区,30-60k·16薪,5-10年,本科,Unknown,Baidu,互联网,10000人以上,美股上市
AIGC创意设计师,北京,30-55k·15薪,经验不限,本科,Unknown,某北京知名互联网公司,互联网,100-499人,B轮
AIGC高级算法工程师,北京-海淀区,35-60k,1-3年,学历不限,"Python,算法研究,PyTorch,虚拟人,图形生成,视频生成,多模态图形,SD虚拟人",某北京互联网公司,人工智能,100-499人,B轮
AIGC高级算法工程师,北京,35-55k,3-5年,硕士,"AIGC算法,图像重建,图像开发,PyTorch,Python,图像优化,虚拟人",某北京互联网/电商公司,人工智能,100-499人,B轮
AIGC模型推理优化工程师,北京,20-30k·14薪,1-3年,本科,"深度学习,PyTorch",某北京大型互联网公司,云计算/大数据,10000人以上,D轮及以上
AIGC技术总监,北京,250-500k,5-10年,本科,Unknown,某北京大型在线社交/媒体公司,在线社交/媒体,500-999人,D轮及以上
算法⼯程师 （AIGC⽅向）,北京,35-50k,1-3年,统招本科,"算法研究,自然语言处理,深度学习",某知名公司,游戏,100-499人,A轮
AIGC算法专家,北京,60-90k·16薪,5-10年,学历不限,"文生图,文生视频,aigc",某知名公司,互联网,10000人以上,融资未公开
虚拟人AIGC算法工程师,北京-海淀区,40-70k,3-5年,硕士,Unknown,某北京人工智能公司,人工智能,100-499人,B轮
AIGC算法工程师,北京,40-70k·16薪,3-5年,硕士,"自然语言处理,深度学习,机器视觉,算法研究",某一线互联网大厂,计算机软件,10000人以上,D轮及以上
C 端 AIGC 工具产品经理,北京-海淀区,25-35k,3-5年,本科,"AIGC,工具类,视频制作",某北京文化艺术业公司,文化艺术业,50-99人,天使轮
AIGC 推理优化工程师,北京,30-40k,3-5年,本科,"深度学习,PyTorch",某互联网公司,互联网,50-99人,Unknown
AIGC产品专家,北京,40-60k·16薪,5-10年,统招本科,"AI人工智能产品,内容产品,IT互联网,人工智能,to C,短视频,产品设计,用户研究,团队管理",某北京大型计算机软件公司,广播/影视/录音,2000-5000人,融资未公开
AIGC技术总监,北京,300-500k,5-10年,统招本科,Unknown,某上海专业技术服务公司,专业技术服务,100-499人,融资未公开
AIGC高级算法工程师/专家-LLM/多模态/图像生成/TTS,北京,45-75k·16薪,3-5年,硕士,"跟踪算法,语言模型,深度学习,深度学习框架,C++",某知名公司,电子商务,10000人以上,Unknown
AIGC技术总监,北京,250-280k,5-10年,统招本科,Unknown,某北京大型在线社交/媒体公司,在线社交/媒体,500-999人,D轮及以上
算法工程师（AIGC/LLM应用/多模态）,北京,45-75k·16薪,3-5年,硕士,"广告算法,语言模型,算法研究,TensorFlow,PyTorch",某知名公司,电子商务,10000人以上,Unknown
多模态AIGC算法研究员,北京-海淀区,30-60k·16薪,3-5年,硕士,"算法研究,CNN,深度学习",某深圳大型通信设备公司,通信设备,10000人以上,战略融资
aigc端上模型优化工程师,北京,80-110k·15薪,经验不限,博士,"算法优化,优化算法,算法研究",某大型云计算/大数据公司,云计算/大数据,10000人以上,D轮及以上
懂车帝-搜索AIGC产品经理（北京）,北京-海淀区,30-60k,3-5年,统招本科,"搜索产品,策略产品,用户研究",字节跳动,互联网,10000人以上,其他
AIGC算法工程师/专家-BJ,北京,90-120k,5-10年,硕士,"算法研究,图像识别,图像增强,图像分割,机器视觉,图像生成,多模态,视频理解算法,内容理解算法,计算机视觉",某知名公司,云计算/大数据,10000人以上,D轮及以上
AI算法工程师（AIGC方向）,北京-朝阳区,30-60k·15薪,5-10年,统招本科,"算法识别,模式识别",某北京互联网公司,互联网,50-99人,B轮
懂车帝-搜索AIGC产品经理,北京-海淀区,25-50k·15薪,1-3年,本科,"搜索产品,AI人工智能产品,策略产品,人工智能,数据分析,用户研究,产品设计,市场调研,产品规划,团队管理",字节跳动,互联网,10000人以上,其他
图像AIGC算法专家,北京-朝阳区,60-90k,5-10年,统招本科,"GAN,图像处理,AIGC",vivo,互联网,5000-10000人,Unknown
文库策略组_大模型(LLM和AIGC)算法工程师,北京,20-40k·16薪,1-3年,硕士,"推荐算法,MXNet,TensorFlow,PyTorch",Baidu,互联网,10000人以上,美股上市
AIGC产品经理,北京-海淀区,25-50k,3-5年,统招本科,"AI人工智能产品,增长产品,SaaS产品,to G,to C,SaaS系统,人工智能,产品优化,用户研究,产品设计",RealAI,人工智能,100-499人,A轮
AIGC高级算法工程师（CV方向） (MJ006219),北京,30-60k,经验不限,本科,算法研究,新浪,互联网,5000-10000人,Unknown
AIGC产品经理,北京-朝阳区,25-50k,3-5年,本科,"工具产品,电子/半导体/集成电路,IT互联网,用户研究,产品规划,产品优化,数据分析,产品设计",微梦传媒,广播/影视/录音,100-499人,融资未公开
AIGC算法工程师,北京-海淀区,30-60k·20薪,5-10年,硕士,"GAN,视觉算法,算法研究,PyTorch,Python,C++",位图信息,电子/半导体/集成电路,50-99人,Unknown
AIGC算法工程师,北京-海淀区,40-45k·16薪,3-5年,硕士,"语言模型,深度学习,深度学习框架",某世界500强互联网公司,互联网,10000人以上,融资未公开
文库策略组_大模型(LLM和AIGC)算法工程师,北京-海淀区,18-40k,3-5年,硕士,"大模型,深度学习,算法",Baidu,互联网,10000人以上,美股上市
AIGC方向产品经理,北京,25-35k·14薪,3-5年,统招本科,"AI人工智能产品,策略产品,数据产品,IT互联网,人工智能,to C,to G,用户研究,产品设计,产品规划",同道猎聘集团,互联网,2000-5000人,港股上市
AIGC产品经理,北京-海淀区,30-50k·15薪,5-10年,学历不限,"增长产品,AI人工智能产品,SaaS产品,to G,to C,人工智能,SaaS系统,产品优化,移动端产品,用户研究",北京云城思创咨询有限责任公司,互联网,50-99人,融资未公开
图像AIGC算法专家-Y2976T,北京-朝阳区,70-100k,5-10年,统招本科,"AIGC,Pytorch,GAN,Diffusion Model",vivo,互联网,5000-10000人,Unknown
AIGC算法优化工程师-PICO 工程架构,北京-海淀区,40-100k,经验不限,硕士,"算法优化,优化算法,GA算法,算法研究,深度学习",字节跳动,互联网,10000人以上,其他
AIGC/大模型算法专家,北京-通州区,60-90k·16薪,5-10年,硕士,Unknown,京东商城,互联网,10000人以上,已上市
Java高级工程师（AIGC方向）,北京-海淀区,30-60k·16薪,3-5年,本科,JVM,快手,互联网,10000人以上,港股上市
AIGC深度学习算法工程师(J13305),北京,25-45k,5-10年,本科,"GAN,深度学习,算法优化,强化学习",易车公司,互联网,2000-5000人,其他
AIGC算法工程师,北京-海淀区,30-60k·16薪,1-3年,本科,"语言模型,算法研究",Baidu,互联网,10000人以上,美股上市
AIGC/大模型算法工程师,北京-通州区,30-60k·16薪,3-5年,硕士,Unknown,京东商城,互联网,10000人以上,已上市
图像AIGC算法专家,北京-朝阳区,50-60k,5-10年,统招本科,"Q-learning,图像处理,视觉算法,PyTorch",vivo,互联网,5000-10000人,Unknown
AIGC算法工程师（CV方向） (MJ006218),北京,30-40k,1-3年,本科,算法研究,新浪,互联网,5000-10000人,Unknown
AIGC 高级平台产品经理,北京,40-60k·16薪,5-10年,统招本科,"AIGC,AI,产品",国内某知名大型互联网公司,计算机软件,2000-5000人,已上市
AIGC产品经理/产品设计,北京-海淀区,30-50k·14薪,3-5年,统招本科,"AIGC产品,AI软件,AI人工智能产品,商业产品,内容生产",某北京知名公司,批发/零售,1-49人,B轮
AIGC视觉生成算法专家,北京,60-90k·15薪,5-10年,硕士,Unknown,某深圳大型互联网公司,互联网,5000-10000人,不需要融资
AIGC设计师,北京,12-20k,3-5年,统招本科,Unknown,某北京大型互联网公司,互联网,10000人以上,融资未公开
AIGC产品经理-文生图，文生视频SaaS,北京,20-40k·14薪,5-10年,学历不限,"SaaS产品,AIGC,文生图",某北京大型IT服务公司,IT服务,500-999人,C轮
AIGC平台产品经理,北京,30-60k·16薪,5-10年,统招本科,"平台产品,数据产品,策略产品,美发业务,数据分析,产品优化,用户研究,产品设计,产品规划,SQL",某互联网公司,IT服务,100-499人,Unknown
Aigc产品经理,北京-海淀区,35-45k·14薪,3-5年,统招本科,"工具产品,AI人工智能产品,to B",某北京大型互联网公司,互联网,5000-10000人,融资未公开
AIGC产品经理-流程快,北京-海淀区,30-50k,5-10年,学历不限,"SaaS产品,工具产品,AI人工智能产品,IT互联网",某北京知名公司,批发/零售,1-49人,B轮
AIGC 算法工程师 硕士或博士优先,北京,45-50k·16薪,5-10年,本科,"语言模型,深度学习,深度学习框架",某知名公司,专业技术服务,1-49人,融资未公开
AIGC应用研发工程师,北京,60-65k,1-3年,本科,Unknown,某上海大型IT服务公司,IT服务,5000-10000人,Unknown
aigc算法工程师,北京,50-55k,3-5年,学历不限,aigc,某北京大型在线社交/媒体公司,在线社交/媒体,10000人以上,D轮及以上
AIGC平台产品经理,北京,35-50k·16薪,5-10年,统招本科,AI平台,某北京计算机软件上市公司,计算机软件,1000-2000人,已上市
AIGC算法专家,北京,40-70k·16薪,3-5年,硕士,"Python,Stable Diffusion,Llama 2,机器学习,文生图,图生图",某北京互联网公司,互联网,50-99人,B轮
AIGC图像视频生成算法专家,北京,45-60k·16薪,5-10年,学历不限,Unknown,某大型知名互联网公司,互联网,10000人以上,已上市
后端开发工程师（派单/GIS/AIGC）,北京-顺义区,15-20k,5-10年,学历不限,"后端开发,Java,Python,汽车领域,GIS系统,派单,GIS软件,GIS",某知名公司,其他金融,100-499人,战略融资
AIGC产品设计师-火山引擎,北京-海淀区,30-50k·15薪,5-10年,本科,Unknown,字节跳动,互联网,10000人以上,其他
AIGC算法专家/TL,北京,60-90k·14薪,5-10年,硕士,"Python,图像处理,C++,PyTorch,图像生成",某北京大型在线社交/媒体公司,在线社交/媒体,10000人以上,战略融资
AIGC算法专家,北京-朝阳区,40-70k·15薪,5-10年,硕士,"算法识别,模式识别",某北京互联网公司,互联网,50-99人,B轮
AIGC创作工具产品经理（图像方向）- 剪映CapCut,北京-海淀区,30-50k·15薪,5-10年,本科,"社区产品,工具产品,海外产品",字节跳动,互联网,10000人以上,其他
AIGC图像视频生成算法工程师,北京-海淀区,40-70k·16薪,3年以上,硕士,Unknown,某北京大型互联网公司,互联网,5000-10000人,战略融资
AI算法工程师（AIGC方向）,北京-朝阳区,45-70k·15薪,3-5年,统招本科,"算法识别,模式识别",某北京互联网公司,互联网,50-99人,B轮
AIGC算法研究员（文生3D）,北京,35-65k·16薪,5-10年,硕士,Python,某大型知名互联网公司,互联网,10000人以上,已上市
AIGC图像视频生成算法工程师,北京,45-75k·16薪,经验不限,学历不限,Unknown,某北京大型互联网公司,云计算/大数据,10000人以上,D轮及以上
多模态AIGC算法工程师/专家,北京-海淀区,50-80k·16薪,3-5年,统招本科,"Python,C++,PyTorch,多模态生成算法,diffusion models,GAN,VAE,图像生成",某北京在线社交/媒体上市公司,在线社交/媒体,10000人以上,已上市
AIGC视觉多模态,北京-朝阳区,30-60k·16薪,3-5年,硕士,"自然语言生成,GPT,算法开发",某北京人力资源服务公司,人力资源服务,100-499人,Unknown
AIGC图像视频生成算法工程师,北京,40-70k·16薪,经验不限,硕士,Unknown,某大型计算机软件公司,计算机软件,2000-5000人,融资未公开
aigc工程师,北京-海淀区,20-45k,1-10年,统招本科,"算法研究,Python,C++,PyTorch",北京凌风链科技有限公司,科技推广服务,1-49人,Unknown
AI算法工程师(AIGC方向),北京-朝阳区,30-50k·15薪,3-5年,统招本科,"算法识别,模式识别",某北京互联网公司,互联网,50-99人,B轮
AIGC算法工程师（广告创意）,北京-海淀区,40-80k·15薪,3-5年,本科,"深度学习,语言模型,自然语言处理,深度学习框架",字节跳动,互联网,10000人以上,其他
内容运营高级专员（AIGC方向）,北京-海淀区,20-40k,5-10年,本科,"内容运营,动漫类,游戏类,游戏运营",彩云科技AI,互联网,1-49人,B轮
AIGC算法研究员,北京,50-60k·14薪,3-5年,硕士,"算法研究,算法开发,算法优化,图像处理,自然语言处理",某大型互联网公司,互联网,10000人以上,已上市
AIGC技术总监,北京,100-110k·30薪,5-10年,统招本科,Unknown,某企业,人力资源,100-499人,融资未公开
语音算法专家（语音负责人，AIGC虚拟人）,北京-海淀区,40-60k·15薪,3-5年,本科,"语音合成,语音识别,算法研究,TensorFlow",某北京互联网公司,互联网,100-499人,B轮
AIGC算法专家,北京,40-70k·16薪,3-5年,统招本科,"算法识别,模式识别",某杭州大型人力资源服务公司,人力资源服务,500-999人,Unknown
AIGC产品经理（彩云小梦）,北京-海淀区,30-50k·15薪,3-5年,本科,"AI人工智能产品,数据产品,策略产品,用户研究,产品优化,产品规划,数据分析",彩云科技AI,互联网,1-49人,B轮
AIGC算法专家,北京,70-90k,5-10年,硕士,"视觉算法,PyTorch,Python,C++",某大型知名互联网公司,互联网,10000人以上,已上市
AIGC生成算法专家,北京-朝阳区,40-70k·16薪,3-5年,硕士,Unknown,某杭州大型人力资源服务公司,人力资源服务,500-999人,Unknown
AIGC图像生成算法工程师,北京,45-75k·15薪,5-10年,硕士,"成像算法,算法研究",某大型知名互联网公司,通信设备,10000人以上,战略融资
AIGC算法,北京,35-65k·13薪,5-10年,硕士,"机器视觉,模式识别,深度学习,深度学习框架",某广州互联网上市公司,互联网,5000-10000人,已上市
AIGC视频生成算法专家,北京,50-75k·16薪,5-10年,硕士,"计算机、人工智能、机器学习,算法研究,视觉内容生成,AIGC",某深圳互联网上市公司,互联网,10000人以上,已上市
AIGC图像生成算法工程师,北京-海淀区,40-70k·16薪,5-10年,硕士,"成像算法,算法研究",某大型通信设备公司,通信设备,10000人以上,战略融资
AIGC生成算法专家-财富 北京/上海/杭州,北京-朝阳区,40-70k·16薪,3-5年,博士,"视觉处理,深度学习,自然语言处理,GPT,多模态建模,大模型预训练,扩散模型,多模态生成",蚂蚁集团,科技金融,5000-10000人,B轮
AIGC高级算法工程师（NLP方向） (MJ006217),北京,40-70k,3-5年,本科,"自然语言处理,算法研究",新浪,互联网,5000-10000人,Unknown
AIGC图像视频生成算法工程师,北京,20-21k,3-5年,硕士,Unknown,某北京大型计算机软件公司,计算机软件,2000-5000人,融资未公开
AIGC图像生成算法工程师,北京-海淀区,60-90k,5-10年,统招本科,"算法设计,算法开发,图像学习,C++",某深圳大型通信设备公司,通信设备,10000人以上,战略融资
AIGC算法工程师,北京-朝阳区,55-85k·16薪,经验不限,统招本科,Unknown,某北京生活服务O2O上市公司,生活服务O2O,10000人以上,已上市
AIGC广告算法工程师,北京-朝阳区,40-60k·16薪,3-5年,本科,"算法开发,PyTorch,TensorFlow,Python,Keras,算法优化,图像处理,机器视觉,深度学习,强化学习",QUTBAH PROJECT MANAGEMENT SERVICES CO. L.L.C,贸易/进出口,50-99人,Unknown
视觉算法专家（AIGC）、科学家,北京,100-150k·16薪,5-10年,博士,"Q-learning,算法优化,优化算法,视觉算法",某北京人工智能公司,人工智能,50-99人,A轮
AIGC算法工程师,北京,70-100k·16薪,5-10年,硕士,"图像识别,人脸识别,图像增强,图像分割,强化学习,OpenCV,PyTorch,GAN,扩散模型,视觉生成",某大型知名计算机软件公司,互联网,2000-5000人,战略融资
商业AIGC组_产品运营经理,北京-海淀区,20-40k·16薪,3-5年,本科,AIGC,Baidu,互联网,10000人以上,美股上市
AIGC图像视频生成算法工程师,北京-朝阳区,50-70k·14薪,5-10年,硕士,Unknown,某北京大型计算机软件公司,计算机软件,2000-5000人,融资未公开
AIGC算法工程师,北京,25-45k·15薪,3-5年,统招本科,"深度学习,算法研究,算法开发,PyTorch,深度学习框架",某长沙大型互联网公司,互联网,1000-2000人,B轮
AIGC图像视频生成算法工程师,北京-朝阳区,30-60k·16薪,3-5年,硕士,Unknown,某北京大型计算机软件公司,计算机软件,2000-5000人,融资未公开
AIGC产品专家,北京-海淀区,35-40k,5-10年,本科,"商业产品,广告产品,广告行业,产品规划,数据分析",Baidu,互联网,10000人以上,美股上市
AIGC视频生成算法专家,北京-石景山区,40-70k·15薪,3-5年,硕士,"算法开发,算法设计,算法优化,视觉算法,模型开发,算法测试,AIGC",某北京大型互联网公司,互联网,2000-5000人,融资未公开
AIGC算法工程师/专家/研究员,北京,50-80k,1-3年,硕士,PyTorch,某北京科技推广服务公司,科技推广服务,50-99人,战略融资
算法⼯程师 （AIGC⽅向）,北京,40-60k·13薪,1-3年,硕士,"算法研究,深度学习",某北京互联网公司,互联网,50-99人,A轮
商业AIGC组_商业产品市场/客户运营,北京-海淀区,20-40k·16薪,3-5年,本科,产品运营,Baidu,互联网,10000人以上,美股上市
AIGC图像视频生成算法工程师,北京,55-85k·16薪,3-5年,硕士,Unknown,某知名公司,计算机软件,2000-5000人,融资未公开
AIGC产品经理,北京-东城区,25-40k·15薪,5-10年,本科,"内容产品,广电行业,产品规划,市场调研,数据分析",猫眼娱乐,在线社交/媒体,1000-2000人,战略投资
AIGC算法专家,北京-海淀区,30-60k·15薪,1-3年,本科,算法研究,字节跳动,互联网,10000人以上,其他
AIGC广告产品经理,北京-海淀区,25-40k·16薪,3-5年,本科,"商业产品,广告产品,广告行业,产品规划,数据分析",Baidu,互联网,10000人以上,美股上市
图像产品经理 （图像拍摄美化/AIGC）-【主站】,北京-海淀区,25-50k·16薪,3-5年,本科,"数据产品,to C,用户研究",快手,互联网,10000人以上,港股上市
AIGC产品经理(J58900),北京-海淀区,25-50k·16薪,3-5年,本科,"策略产品,社区产品,用户研究,产品规划,产品设计",Baidu,互联网,10000人以上,美股上市
AIGC视频生成,北京,6-8k,经验不限,硕士,算法开发,美团,生活服务,10000人以上,港股上市
AIGC图像生成算法专家,北京-通州区,50-80k·16薪,5-10年,硕士,"算法研究,算法优化,优化算法,算法开发",京东科技集团,人工智能,10000人以上,Unknown
海外AIGC社区-高级增长产品,北京-东城区,30-60k·13薪,3-5年,本科,"增长产品,策略产品",昆仑天工科技有限公司,游戏,500-999人,Unknown
AIGC产品运营经理,北京-海淀区,20-40k,3-5年,本科,"产品运营,产品运营经理,AIGC,英语",亚思未来(北京)科技有限公司,专业技术服务,50-99人,Unknown
AIGC图像生成算法工程师,北京-海淀区,35-65k·16薪,5-10年,硕士,"成像算法,算法研究",荣耀终端有限公司,通信设备,10000人以上,其他
商业研发部_商业AIGC风控算法工程师,北京-海淀区,30-60k·16薪,1-3年,本科,"深度学习,风控算法,算法研究,Python,C++",Baidu,互联网,10000人以上,美股上市
售前工程师（AIGC方向、电力行业优先）,北京-海淀区,20-30k,3-5年,本科,Unknown,中软国际科技,IT服务,10000人以上,Unknown
商业中台技术研发组_商业AIGC产品经理(J57472),北京-海淀区,20-40k,5-10年,统招本科,"商业广告,商业变现,产品经理",Baidu,互联网,10000人以上,美股上市
AIGC图像生成算法工程师,北京-海淀区,30-50k,5-10年,硕士,"Python,C++,PyTorch,TensorFlow",荣耀终端有限公司,互联网,10000人以上,融资未公开
图像算法工程师（AIGC方向）,北京-海淀区,30-50k·16薪,3-5年,硕士,"算法研究,跟踪算法,优化算法,算法优化",贝壳找房(北京)科技有限公司,生活服务O2O,10000人以上,已上市
AIGC 算法工程师,北京-丰台区,30-60k,5-10年,硕士,PyTorch,值得买科技,电子商务,1000-2000人,沪深A股上市
AIGC 广告创意产品经理（素材产品方向）,北京-海淀区,25-50k·16薪,3-5年,本科,"广告产品,AI人工智能产品,广告行业,直播,人工智能,房地产行业,数据分析",快手,互联网,10000人以上,港股上市
商业AIGC组_商业AIGC产品经理（营销BOT方向）,北京-海淀区,20-40k·16薪,3-5年,本科,"对话产品,策略产品,团队管理",Baidu,互联网,10000人以上,美股上市
AIGC图像生成算法工程师,北京,30-55k·18薪,5-10年,硕士,"算法设计,算法开发,算法研究,算法优化,Python,C++,C语言,图像处理,机器视觉,深度学习",荣耀终端有限公司,通信设备,10000人以上,其他
AIGC 研究科学家-商业化技,北京-朝阳区,30-60k·15薪,3-5年,统招本科,"算法开发,Java,C++,Golang,自然语言生成,文本分类,情感识别,句法分析,文字蕴含,词法分析",字节跳动,互联网,10000人以上,其他
AIGC图像生成算法工程师,北京-海淀区,50-80k,5-10年,硕士,"算法研究,算法开发,图像分析,深度学习",荣耀终端有限公司,互联网,10000人以上,融资未公开
AIGC,北京-昌平区,20-35k,3-5年,本科,"GAN,成像算法,深度学习",阿特莱斯(北京)网络科技有限公司,电子商务,100-499人,其他
AIGC产品经理,北京-海淀区,20-45k·16薪,3-5年,本科,"策略产品,社区产品,用户研究,产品规划,产品设计",Baidu,互联网,10000人以上,美股上市
